00A695A8	Michael	迈克尔
00AAE820	Bright Orange	亮橙色
00AAE830	Pfister Pink	菲斯特粉
00AAE840	Midnight Blue	午夜蓝色
00AAE850	Fluorescent Blue	荧光蓝色
00AAE868	Wine Red	红酒
00AAE878	Black Purple	黑紫色
00AAE888	Bright Purple	亮紫色
00AAE898	Hunter Green	森林绿
00AAE8A8	Carbon Black	碳纤黑
00AAE8B8	Midnight Purple	午夜紫
00AAE8C8	Alloy	金
00AAE8D0	Lava Red	岩红
00AAE8E0	Matte Black	哑光黑
00AAE8F0	Epsilon Blue	淡淡的蓝
00AAE900	Matte Light Gray	哑光浅灰色
00AAE918	Matte Gray	哑光灰
00AAE928	Matte Dark Red	哑光深红
00AAE938	Matte Red	哑光红
00AAE948	Matte Yellow	哑光黄色
00AAE958	Matte Orange	哑光橙色
00AAE968	Matte Dark Blue	哑光深蓝色
00AAE978	Matte Lime Green	哑光酸橙绿
00AAE990	Matte Midnight Blue	哑光午夜蓝色
00AAE9A8	Matte Blue	哑光蓝
00AAE9B8	Matte Brown	哑光棕
00AAE9C8	Matte Green	哑光绿
00AAE9D8	Matte Schafter Purple	哑光莎夫特紫色
00AAE9F0	Matte Ice White	哑光冰白色
00AAEA00	Matte Forest Green	哑光森林绿色
00AAEA18	Matte Midnight Purple	哑光午夜紫色
00AAEA30	Matte Dark Earth	哑光深棕色
00AAEA48	Matte Olive Drab	哑光橄榄绿
00AAEA60	Matte Foliage Green	哑光叶绿色
00AAEA78	Matte Desert Tan	哑光沙漠棕
00AAEA90	Brushed Black Steel	拉丝黑钢色
00AAEAA8	Brushed Steel	拉丝钢色
00AAEAB8	Pure Gold	纯金色
00AAEAC8	Brushed Aluminium	拉丝铝色
00AAEAE0	Polished Gold	抛光金色
00AAEAF0	Brushed Gold	拉丝金色
00AAEB00	Util Black Poly	纯色黑聚酯
00AAEB10	Util Black	纯色黑
00AAEB20	Util Silver	纯色银
00AAEB30	Util Dark Silver	纯色深银色
00AAEB48	Util Shadow Silver	纯色影银色
00AAEB60	Util Gun Metal	纯色灰金
00AAEB70	Util Bright Red	纯色亮红色
00AAEB80	Util Red	红色
00AAEB90	Util Dark Green	纯色深绿色
00AAEBA0	Util Garnet Red	纯色石榴红
00AAEBB0	Util Dark Blue	纯色深蓝
00AAEBC0	Util Green	纯色绿
00AAEBD0	Util Blue	纯色蓝
00AAEBE0	Util Midnight Blue	纯色午夜蓝色
00AAEBF8	Util Lightning Blue	纯色闪电蓝色
00AAEC10	Util Sea Foam Blue	纯色海泡蓝色
00AAEC28	Util Bright Blue	纯色亮蓝色
00AAEC40	Util Maui Blue Poly	纯色蓝聚酯色
00AAEC58	Util Medium Brown	纯色中棕色
00AAEC70	Util Brown	纯色棕
00AAEC80	Util Off-White	纯色米白
00AAEC90	Util Light Brown	纯色浅棕色
00AAECA8	Worn Graphite	磨砂石墨
00AAECB8	Worn Black	磨砂黑
00AAECC8	Worn Silver	磨砂银
00AAECD8	Worn Silver Gray	磨砂银灰色
00AAECF0	Worn Shadow Silver	磨砂影银色
00AAED08	Worn Blue Silver	磨砂蓝银色
00AAED20	Worn Golden Red	磨砂金红色
00AAED30	Worn Red	红色
00AAED40	Worn Dark Green	磨砂深绿色
00AAED50	Worn Dark Red	深红色
00AAED60	Worn Sea Wash	海水蓝色
00AAED70	Worn Green	磨砂绿
00AAED80	Worn Blue	磨砂蓝
00AAED90	Worn Dark Blue	磨砂深蓝
00AAEDA0	Worn Honey Beige	磨砂蜂蜜色
00AAEDB8	Worn Light Blue	磨砂浅蓝色
00AAEDC8	Worn Dark Brown	磨砂深棕色
00AAEDD8	Worn Brown	磨砂棕
00AAEDE8	Worn Off-White	淡米白色
00AAEDF8	Worn Straw Beige	稻草米色
00AAEE10	Worn Light Orange	磨砂浅橙色
00AAEE28	Worn Orange	磨砂橙
00AAEE38	Worn Pale Orange	磨砂淡橙色
00AAEE50	Worn Taxi Yellow	出租车黄色
00AAEE68	Worn Olive Army Green	磨砂橄榄军绿色
00AAEE80	Worn White	纯白色
00AAEE90	Choose Dash Color	yi  biao  yan  se
00AAEEA4	Chrome	钛金
00AAEEB0	This vehicle is not supported	此车辆不受支持
00AAEED0	Choose Trim Color	zhuang shi yan se
00AAEEE8	Trim Color ~HUD_COLOUR_GREYLIGHT~(161)	装饰颜色 ~HUD_COLOUR_GREYLIGHT~
00AAEF10	Dash Color ~HUD_COLOUR_GREYLIGHT~(161)	仪表盘颜色 ~HUD_COLOUR_GREYLIGHT~
00AAEF38	Interior Colors	nei shi yan se
00AAEF88	Trevor's	崔佛
00AAEF98	Michael's	迈克
00AAEFA8	Military	军事  
00AAEFB8	Franklin's	富兰克
00AAEFC8	For Bikes Only	仅摩托车
00AAEFD8	Prologue	序章
00AAEFE8	Every 3 Min	每3分钟
00AAEFF8	Via 'Next Radio Track'	下一首电台歌曲
00AAF010	Every 7 Min	每7分钟
00AAF020	Every 5 Min	每5分钟
00AAF030	Every 15 Min	每15分钟
00AAF040	Every 10 Min	每10分钟
00AAF050	Key Not Bound	无快捷键
00AAF060	Every 30 Min	每30分钟
00AAF070	Saved to INI file	配置已保存到 INI
00AAF088	Hotkey Config	kuai jie jian
00AAF098	ENT menu colors reset	已重置菜单颜色
00AAF0B0	INI config file written or updated	INI 配置文件已写入或更新
00AAF0D8	Reset Menu Colors	重置菜单颜色
00AAF0F0	Save Menu Color Config	保存菜单颜色配置
00AAF108	Trainer Options	修改器选项
00AAF118	Trainer Menu Colors	cai  dan  yan  se
00AAF130	Control Navigation	控制导航
00AAF148	Hotkey Setup	设置快捷键
00AAF158	Show Status Message On Startup	启动时显示状态消息
00AAF178	Show Vehicle Previews	显示车辆预览
00AAF190	Menu Colors	菜单颜色
00AAF1A0	Include Nkjellman's Extra Scenery	包含(Nkjellman)的额外场景
00AAF1C8	Radio is frozen to station 	已冻结电台并固定为
00AAF1E8	Radio is no longer frozen to a station	固定解除,可以自由换电台了!
00AAF210	Stop [Press Jump To Stop]	按空格键/停止播放
00AAF230	Enter cutscene name (e.g. mph_nar_fin_ext or bmad_intro):	输入过场动画名称：(例如：mph_nar_fin_ext )   
00AAF270	Switch Camera	切换观看视角
00AAF280	First Person Cutscene Camera	第一人称视角场景动画
00AAF2A0	Screen Filters	屏幕滤镜
00AAF2B0	View Cutscene	Kan Dong Hua 
00AAF2C0	None	无
00AAF2D0	Freeze Radio to Station	dong   jie   dian   tai
00AAF2E8	Play Scripted Music	bo  fang   yin  yue
00AAF2FC	Enable	启用
00AAF308	Airbrake Menu Options	zi   you   yi   dong
00AAF320	Mouse Mode	鼠标模式
00AAF330	Toggle Airbrake Mode [F6 to open/close]	自由移动模式 [默认 F6 开/关 ]
00AAF358	Frozen Time	冻结时间
00AAF368	Show Help & Controls	显示 控制/说明
00AAF380	Pause Menu Settings Options	you  xi  [Esc] cai  dan  ye
00AAF3A0	Transparency	透 明 度
00AAF3B0	Pause Game When Menu Open	打开Esc页/暂停游戏
00AAF3D0	Default Pause Menu Tab	默认的Esc菜单页:
00AAF3E8	Phone Bill Options	shou  ji  hua  fei
00AAF400	Hide Player Info In Pause Menu	Esc菜单页隐藏角色信息
00AAF420	Amount Per Minute	每分钟费用
00AAF438	Enable Phone Bill	启用电话费
00AAF450	Can't Use Phone If Zero Balance	余额为零禁止使用手机
00AAF470	First Free Seconds	前几秒免费
00AAF488	No Phone On HUD While In First Person	第一人称屏幕上不显示手机
00AAF4B0	Use Phone While On Bike Options	qi  che  shi   yong  shou  ji  
00AAF4D0	Phone Settings Options	shou  ji  she  zhi 
00AAF4E8	Animation Type	动作 类型
00AAF4F8	Phone Bill	电话费
00AAF508	Default Phone Model	默认手机型号:
00AAF520	No Phone	禁用手机
00AAF530	Use Phone While On Bike	骑车时使用手机
00AAF548	Radio Settings Options	dian  tai  she  zhi 
00AAF560	Disable Phone If Menu Open	打开菜单时禁用手机
00AAF580	Portable Radio	随身电台
00AAF590	Radio Off	关闭电台
00AAF5A0	Freeze Radio To Station	冻结并固定电台
00AAF5B8	Radio Station Shuffle	电台随机切换
00AAF5D0	Consistent Radio Volume	统一的电台音量
00AAF5E8	Boost Radio Volume	提高电台音量
00AAF600	Radio In Police Vehicle	启用警车电台
00AAF618	Restore Missing Radio Station	恢复 (缺失/隐藏) 电台
00AAF638	Hide HUD	HUD小地图 隐/显
00AAF648	HUD Settings Options	HUD [ she zhi ]
00AAF660	Show HUD In Vehicle Only	仅在车辆中显示HUD
00AAF680	Show HUD If Phone In Hand Only	仅在打开电话时显示HUD
00AAF6A0	Dynamic Health Bar	实时血量显示
00AAF6B8	Show HUD If Map Marker Set Only	仅在设置导航点后显示HUD
00AAF6D8	Disable Recording	禁用录像
00AAF6F0	No Scripted Blur & Slowdown	禁用动态模糊减速效果
00AAF710	Miscellaneous Options	qi  ta  xuan  xiang
00AAF728	No Notifications	禁用任何通知
00AAF740	HUD Settings	小地图设置
00AAF750	Radio Settings	电台设置
00AAF760	Pause Menu Settings	Esc菜单页/设置
00AAF778	Phone Settings	手机设置
00AAF788	Cutscene Viewer	播放场景动画
00AAF798	Scripted Music	场景音乐  
00AAF7A8	No Flight Music	无飞行音乐
00AAF7B8	No Wanted Music	无通缉音乐
00AAF7C8	No 'Mission Passed' Message	无 [任务完成] 消息
00AAF7E8	No Police Scanner	无警察电台广播
00AAF800	No Stunt Jumps	无特技跳跃
00AAF810	First Person Stunt Jump Camera	第一人称特技跳跃视角
00AAF830	Airbrake Menu	自由移动
00AAF840	FPS Counter	FPS 显示 
00AAFAB0	Game version outdated. This requires 1.44 onwards to function!	游戏版本过旧，需要1.44或更高版本才能运行！ 
00AB0058	~r~Error:~r~ Player isn't in a vehicle	~r~错误:~r~ 玩家不在车辆中!
00AB0080	Left	左
00AB0088	~r~Error:~r~ Can't add neon lights to this vehicle	~r~错误:~r~ 无法为, 此辆车添加霓虹灯!
00AB00BC	Front	前
00AB00C4	Right	右
00AB00D0	Unknown	未知?
00AB00D8	Back	后
00AB00E0	Can't add neon lights to this vehicle	无法给此车辆添加霓虹灯！ 
00AB0108	Choose Neon Lights Color	ni  hong  deng  yan  se
00AB0128	Enable Neons: 	启霓虹灯: 
00AB0138	Toggle All Neon Lights	开关所有霓虹灯
00AB0150	Neon Lights	Ni    Hong
00AB0170	Object Placement	物体摆放
00AB0188	Camera failure	相机故障
00AB01B0	Default Object Placement Keys (change in XML):	默认物体摆放/移动键 (在XML中更改)
00AB01E0	Very Slow	非常慢
00AB01F0	W/S - Move Forward/Back (Alt: Pitch)	W/S 前/后移动 (按Alt+WS俯仰)
00AB0218	A/D - Rotate Left/Right (Alt: Roll)	A/D 左/右旋转 (按Alt+AD滚动)
00AB0240	[ and ] - Decrease/Increase Move Speed	[Enter] 减少/增加 移动速度
00AB0268	Alt - Alternate Movement	( ] 加速)  (减速 [ )
00AB0288	A - Cycle Move Speeds	A  切换移动速度
00AB02A0	G - Toggle Object Frozen On Exit	G 切换物退出时冻结状态
00AB02C8	Press 'Menu Back' to save and exit this mode	按 (菜单返回) 保存并退出此模式!
00AB02F8	Y - Toggle Object Frozen On Exit	Y 切换物退出时冻结状态
00AB0320	Yes	是
00AB0340	Object Frozen On Exit: ~HUD_COLOUR_WHITE~	退出时冻结物体: ~HUD_COLOUR_WHITE~
00AB0458	Aviation	航空  
00AB0468	Agricultural	农业农场
00AB0478	Bars & Clubs	酒俱乐部
00AB0488	Bags	包 
00AB0490	Beach	H 滩
00AB0498	Bathroom	浴室  
00AB04A8	Boxes & Crates	箱/板条箱 
00AB04B8	Bins	桶 
00AB04C0	Buildings	建筑物
00AB04D0	Building Infrastructure	建筑的基础设施  
00AB04E8	Chairs	椅子
00AB04F0	Cars	车 
00AB04F8	Clothing	服装  
00AB0504	Clocks	时钟
00AB0510	Construction	建筑施工
00AB0520	Computers	键鼠显
00AB0530	Cunning Stunts (Course Decor)	特技竞速  (赛道装饰) 
00AB0550	Cunning Stunts (C4)	特技竞速 (C4)  
00AB0568	Cunning Stunts (Stunt Course)	特技竞速  (特技赛道) 
00AB0588	Cunning Stunts (Race Track)	特技竞速 (竞速赛道)
00AB05A8	Cunning Stunts (Stunt Track)	特技竞速  (特技轨道)
00AB05C8	Cunning Stunts (Stunt Props)	特技竞速 (特技道具) 
00AB05E8	Doors	门  
00AB05F0	Cunning Stunts (Stunt Tubes)	特技竞速  (特技管道)
00AB0610	Drugs	毒  
00AB0618	Drink	饮  
00AB0620	Fences	栅栏
00AB0628	Fairground	游乐场 
00AB0638	Firing Range	射击场   
00AB0648	Film Studio	电影室  
00AB0658	Freight	货运 
00AB0660	Food & Drink	食品饮料
00AB0670	Garden	花园
00AB0678	Garage	车库
00AB0680	Glass	窗 H
00AB0688	Gates	D 门
00AB0690	Graveyard	墓地   
00AB06A0	Golf Course	高尔夫  
00AB06B0	Household	家用品
00AB06C0	Heist Photos	抢劫照片
00AB06D0	Industrial	工业品 
00AB06DC	Icons	Tu标
00AB06E4	Junk	垃J
00AB06F0	Jewellery Store	珠宝商店   
00AB0700	Leisure	休闲 
00AB0708	Kitchen	厨房 
00AB0710	Mobile Phones	手机/电话
00AB0720	Misc	其T
00AB0728	Nature	自然
00AB0730	Money	钱  
00AB0738	Paint	漆  
00AB0740	Office	办公
00AB0748	Personal Effects	个人物品    
00AB075C	Papers	纸品
00AB0768	Pool Table	台球桌 
00AB0774	Police	警察
00AB077C	Ramps	X 坡
00AB0788	Railway	铁路 
00AB0790	Ropes & Hooks	绳索/钩子
00AB07A0	Roads	D 路
00AB07A8	Signs	Lu牌
00AB07B0	Shopping	购物  
00AB07C0	Street Furniture	街道家具    
00AB07D8	Sports Equipment	体育设备    
00AB07EC	Tools	工ju
00AB07F4	Tables	桌子
00AB0800	TV & Audio	电视    
00AB0810	Trolleys	推车  
00AB0838	Weaponry	武器  
00AB0860	Cabbage	甘蓝
00AB0880	Cart Wheel	木车轮
00AB08A8	Farm Hose Reel Trailer	农场水管卷拖车
00AB08E0	Farm Side Spreader	农场撒肥机
00AB0910	Farm Side Spreader (Snowy)	农场撒肥机(雪地版)
00AB0948	Farm Windmill	农场风车
00AB0968	Feed Sack	饲料袋
00AB0990	Feeder Cage	饲养笼
00AB09B0	Fertilizer	化肥
00AB09D0	Hay Bail	草捆
00AB09F0	Hay Bale #1	干草捆 1
00AB0A10	Hay Bale #2	干草捆 2
00AB0A38	Hay Bale #3	干草捆 3
00AB0A60	Hay Bale Set	干草捆堆
00AB0A80	Hay Baler	打捆机
00AB0A9C	Log #1	木 1
00AB0AB8	Log #2	木 2
00AB0AD0	Log Pile #1	木材堆 1
00AB0AF0	Log Pile #2	木材堆 2
00AB0B18	Log Pile #3	木材堆 3
00AB0B40	Old Churn	旧奶桶
00AB0B68	Old Farm Plough	旧农场犁
00AB0B88	Old Farm Wagon	旧农马车
00AB0BA8	Pig House #1	猪舍 1
00AB0BC8	Pig House #2	猪舍 2
00AB0BF0	Plough	铁犁
00AB0C10	Pumpkin	南瓜
00AB0C28	Round Bailer #1	圆形打捆机
00AB0C48	Small Windmill	小风车
00AB0C70	Square Straw Bale	方形稻草捆
00AB0CA0	Aircraft Propeller	飞机螺旋桨
00AB0CD0	Airfield Lights #1	机场灯 1
00AB0D00	Airfield Lights #2	机场灯 2
00AB0D30	Airfield Lights #3	机场灯 3
00AB0D60	Airfield Lights #4	机场灯 4
00AB0D90	Airfield Traffic Cone With Light	机场锥形交通灯 
00AB0DD0	Airfield Water Tank	机场水箱
00AB0DF8	Airliner (FlyUS MP)	飞机 1
00AB0E28	Airliner (Generic)	飞机 2
00AB0E58	Airliner Interior	飞机内部
00AB0E88	Airport Bag Loader	行李装载机
00AB0EB8	Airport Blast Fence	机场防爆围栏
00AB0EE8	Airport Cargo #1	机场货物 1
00AB0F18	Airport Cargo #2	机场货物 2
00AB0F48	Airport Cargo #3	机场货物 3
00AB0F78	Airport Cargo #7	机场货物 7
00AB0FA8	Airport Cargo #8	机场货物 8
00AB0FD8	Airport Chock #1	机场轮档 1
00AB1008	Airport Chock #2	机场轮档 2
00AB1038	Airport Fire Extinguisher	机场灭火器 
00AB1070	Airport Floodlights #1	机场泛光灯 1 
00AB10A0	Airport Floodlights #2	机场泛光灯 2 
00AB10D0	Airport Fuel Trailer	机场燃料拖车
00AB1100	Airport Gas Bogey	机场煤气车
00AB1130	Airport Generator	机场发电机
00AB1160	Airport Luggage Trolley	机场行李车 
00AB1190	Airport Monitoring Hut	机场监控小屋 
00AB11C0	Airport Runway Light	机场跑道灯 
00AB11F0	Airport Stairs #1	机场楼梯 1
00AB1220	Airport Stairs #2	机场楼梯 2
00AB1250	Airport Stairs #4	机场楼梯 4
00AB1280	Airport Stairs #5	机场楼梯 5
00AB12B0	Airport Taxiway Sign	机场滑行道标
00AB12E0	Airport Taxiway Sign #2	机场滑行道标 2 
00AB1310	Airport Taxiway Sign #3	机场滑行道标 3 
00AB1340	Airport Towbar #1	机场牵引杆 1
00AB1370	Airport Towbar #2	机场牵引杆 2
00AB13A0	Airport Wooden Steps	机场木制台阶 
00AB13D0	Baggage Trailer #1	行李拖车 1
00AB1400	Baggage Trailer #2	行李拖车 2
00AB1428	Baggage Trailer #3	行李拖车 3
00AB1458	Cargo Plane Interior	货机内部 
00AB1488	Crashed Helicopter	坠毁的直升机
00AB14B8	Crashed Maverick	坠毁直升机
00AB14E8	Flight Recorder	飞行记录器
00AB1510	Jet Blood Splat	喷气机血迹
00AB1538	Parking Wand	车指示棒
00AB1560	Security Hut	安全小屋
00AB1588	Shamal Crash	夏马坠毁
00AB15B0	Wind Sock Pole	风向袋杆
00AB15D8	Wrecked Buzzard	坠毁直升机
00AB1600	Attache Case	公文包
00AB1628	Beach Bag #1	沙滩包 1
00AB1650	Beach Bag #2	沙滩包 2
00AB1678	Beach Bag #3	沙滩包 3
00AB1698	Beach Bag #4	沙滩包 4
00AB16B8	Big Bag	袋子
00AB16D0	Briefcase	手提箱
00AB16F8	Drinks Can: Sprunk Open	打开的饮料罐
00AB1728	Duffel Bag	行李袋
00AB1750	Fruit Basket	水果篮
00AB1778	Golf Bag	球包
00AB17A0	Handbag	提包
00AB17C0	Handbag #2	手提包2
00AB17E8	Health Pack	急救包
00AB1810	Heist Bag #1	抢劫包 1
00AB1838	Heist Bag #2	抢劫包 2
00AB1860	Heist Bag #4A	抢劫包 4A
00AB1888	Heist Bag #5	抢劫包 5
00AB18B0	Luggage #1	行李 1
00AB18D8	Luggage #2	行李 2
00AB1900	Luggage #3	行李 3
00AB1928	Luggage #4	行李 4
00AB1950	Luggage #5	行李 5
00AB1978	Luggage #6	行李 6
00AB19A0	Luggage #7	行李 7
00AB19C8	Luggage #8	行李 8
00AB19E8	Luggage #9	行李 9
00AB1A10	Med Bag #1	医疗包1
00AB1A38	Med Bag #2	医疗包2
00AB1A60	Michael Backpack	迈克尔背包
00AB1A90	Nigel Bag Pickup	奈杰尔包裹
00AB1AC0	Paper Bag	纸袋
00AB1AE8	Parachute Pack	降落伞包
00AB1B10	Security Case Closed	关闭的安全箱
00AB1B40	Security Case Open	打开的安全箱
00AB1B70	Stat Pack	统计包
00AB1B98	Suitcase #1	手提箱 1
00AB1BC0	Suitcase #2	手提箱 2
00AB1BE8	Suitcase #3	手提箱 3
00AB1C08	Tennis Bag	网球包
00AB1C28	Ashtray	烟缸
00AB1C40	Bahama Mamas Menu	酒吧的菜单
00AB1C70	Bar Caddy	工具架
00AB1C98	Bar Coaster Barracho	酒吧杯垫
00AB1CC8	Bar Coaster Dispenser	酒吧杯垫分配器
00AB1CF8	Bar Coaster Dusche	酒吧杯垫
00AB1D20	Bar Coffee Machine	酒吧咖啡机
00AB1D50	Bar Snacks: Jelly Beans	酒吧小吃, 果冻豆
00AB1D80	Bar Stirrers	酒搅拌棒
00AB1DA0	Bar Stool #1	酒吧凳 1
00AB1DC8	Bar Stool #2	酒吧凳 2
00AB1DF0	Cocktail Glass	鸡尾酒杯
00AB1E18	Cocktail Shaker	鸡尾酒摇杯
00AB1E40	Cocktail Shaker Open	鸡尾酒摇杯
00AB1E70	Drinking Glasses Stack #1	叠放的饮用杯 1
00AB1EA8	Drinking Glasses Stack #2	叠放的饮用杯 2
00AB1EE0	Drinking Glasses Stack #3	叠放的饮用杯 3
00AB1F18	Drinking Glasses Stack #4	叠放的饮用杯 4
00AB1F50	Drinking Glasses Stack #5	叠放的饮用杯 5
00AB1F88	Drinking Glasses Stack #6	叠放的饮用杯 6
00AB1FB8	Drinking Straws	饮用吸管
00AB1FD8	Drinks Menu	饮料单
00AB1FF8	Drinks Set: Bikers	饮料套装骑士
00AB2020	Drinks Set: Club	饮料套装
00AB2048	Drinks Set: Strip Club	脱衣舞俱乐部
00AB2070	Fruit Slices	水果片
00AB2090	Keg	桶
00AB20A8	Lemon Slices	柠檬片
00AB20D0	Lime Slices	青柠片
00AB20F0	Measuring Jug	量杯
00AB2118	Optic (JD)	计量器
00AB2140	Optic (Vodka)	酒计量器
00AB2168	Pint Glass #1	品脱杯 1
00AB2188	Pint Glass #2	品脱杯 2
00AB21A8	Pitcher #1	大水罐1
00AB21B8	spiritsrow	烈酒排
00AB21C8	Row Of Beer Bottles: World	一排啤酒瓶：世界
00AB21F8	Spirits Row	烈酒排
00AB2220	Strip Club Menu	脱衣舞菜单
00AB2240	Stripper's Pole	脱衣舞杆
00AB2250	vodkarow	伏特
00AB2260	Tequila & Glasses	龙舌兰酒杯
00AB2288	Vodka Bottle Row	伏特加瓶排 
00AB22B0	Bathroom Pot	浴室罐
00AB22D8	Brylcreem	发油
00AB2300	Bubble Bath Bottle	泡泡浴瓶
00AB2328	Clippers	发剪
00AB2354	Comb	梳
00AB2378	Cough Medicine Bottle	咳嗽药瓶
00AB23A8	Dirty Toilet	脏厕所
00AB23D0	Disposable Razor	一次剃须刀
00AB2400	Face Rag	面巾
00AB2420	Foundation Sponge	粉底海绵
00AB2448	Hair Gel	发胶
00AB2468	Hair Mouse	发蜡
00AB2488	Lotion Bottle	乳液瓶
00AB24B0	Perfume Bottle	香水瓶
00AB24D8	Pills Bottle	药片瓶
00AB2500	Shampoo Bottle #1	洗发水瓶 1
00AB2528	Shampoo Bottle #2	洗发水瓶 2
00AB2558	Shaving Foam	剃须泡沫
00AB2580	Shower Towel	浴巾
00AB25A8	Toothbrush	牙刷
00AB25C8	Beach Ball	沙滩球
00AB25E8	Beach BBQ	烧烤
00AB2610	Beach Fire	篝火
00AB2638	Beach Flag	沙滩旗
00AB2660	Beach Flagpole #1	沙滩旗杆 1
00AB2690	Beach Flagpole #2	沙滩旗杆 2
00AB26C0	Beach Large Float	沙滩大浮标
00AB26F0	Beach Lilo #2	沙滩气床2
00AB2718	Beach Parasol #1	沙滩遮阳伞1
00AB2748	Beach Parasol #2	沙滩遮阳伞2
00AB2778	Beach Parasol #3	沙滩遮阳伞3
00AB27A8	Beach Parasol #4	沙滩遮阳伞4
00AB27D8	Beach Parasol #5	沙滩遮阳伞5
00AB2808	Beach Towel #1	沙滩毛巾 1
00AB2830	Beach Towel #2	沙滩毛巾 2
00AB2858	Beach Towel #3	沙滩毛巾 3
00AB2880	Beach Towel #4	沙滩毛巾 4
00AB28A8	Bucket & Spade #1	桶和铲子 1
00AB28D8	Bucket & Spade #2	桶和铲子 2
00AB2908	Bucket & Spade #3	桶和铲子 3
00AB2938	Bucket & Spade #4	桶和铲子 4
00AB2968	Bucket & Spade #5	桶和铲子 5
00AB2998	Life Ring #1	救生圈 1
00AB29C0	Life Ring #2	救生圈 2
00AB29E4	Lilo	床
00AB2A08	Rubber Ring	橡胶圈
00AB2A30	Rubber Rings	橡胶圈2
00AB2A58	Sandcastle #1	沙堡 1
00AB2A80	Sandcastle #2	沙堡 2
00AB2AA8	Sandcastle #3	沙堡 3
00AB2AD0	Sandcastle #4	沙堡 4
00AB2AF8	Sun Lotion #1	防晒乳 1
00AB2B20	Sun Lotion #2	防晒乳 2
00AB2B48	Sun Lotion #3	防晒乳 3
00AB2B70	Beach Bin #1	垃圾桶 1
00AB2B98	Beach Bin #2	垃圾桶 2
00AB2BC0	Bin #1 Lid	垃桶盖
00AB2BE0	Bin #1 Skinned	垃圾桶皮
00AB2C00	Bin #2	垃 2
00AB2C18	Bin #3	垃 3
00AB2C30	Bin #4	垃 4
00AB2C48	Bin #5	垃 5
00AB2C60	Bin #6	垃 6
00AB2C78	Bin #7	垃 7
00AB2C90	Bin #8	垃 8
00AB2CA8	Bin #9	垃 9
00AB2CC0	Bin #10	垃 10
00AB2CD8	Bin #11	垃 11
00AB2CF0	Bin #12	垃 12
00AB2D08	Bin #13	垃 13
00AB2D20	Bin #14	垃 14
00AB2D38	Bin #15	垃 15
00AB2D50	Bin #16	垃16
00AB2D68	Bin #17	垃 17
00AB2D88	Bin With Ashtray	烟灰垃圾桶
00AB2DB8	Dumpster #1	垃圾箱 1
00AB2DE0	Dumpster #2	垃圾箱 2
00AB2E08	Dumpster #3	垃圾箱 3
00AB2E30	Dumpster #4	垃圾箱 4
00AB2E58	Dumpster #5	垃圾箱 5
00AB2E80	Dumpster (Snowy)	大垃圾箱
00AB2EA8	Dumpster Lid	大垃圾盖
00AB2ED0	FIB Bin	FIB桶
00AB2EF0	Recycle Bin #1	回收箱 1
00AB2F18	Recycle Bin #2	回收箱 2
00AB2F40	Recycle Bin #3	回收箱 3
00AB2F68	Recycle Bin #4	回收箱 4
00AB2F88	Recycle Bin #5	回收箱 5
00AB2FA8	Recycle Bin: Drinks Containers	回收箱：饮料容器
00AB2FD8	Skip #1	垃箱1
00AB2FF0	Skip #2	垃箱2
00AB3008	Skip #3	垃箱3
00AB3020	Skip #4	垃箱4
00AB3038	Skip #5	垃箱5
00AB3050	Skip #6	垃箱6
00AB3070	Skip #7	垃箱7
00AB3090	Ammo Box	弹箱
00AB30B0	Apple Box	苹果箱
00AB30D0	Barrel #1	桶 1
00AB30F0	Barrel #2	桶 2
00AB3110	Barrel #3	桶 3
00AB3138	Barrel #4	桶 4
00AB3160	Barrel Float #1	浮桶 1
00AB3188	Barrel Pile #1	桶堆 1
00AB31B0	Barrel Pile #2	桶堆 2
00AB31D8	Bottle Crate Pile	瓶箱堆
00AB3208	Cage Of Boxes #1	箱子笼 1
00AB3238	Cage Of Boxes #2	箱子笼 2
00AB3268	Cage Of Boxes #3	箱子笼 3
00AB3298	Cardboard Box	纸板箱
00AB32C0	Cardboard Box #1	纸板箱 1
00AB32F0	Cardboard Box #2	纸板箱 2
00AB3320	Cardboard Box #3	纸板箱 3
00AB3350	Clucking Bell Chicken Crate	快餐店的鸡笼
00AB3380	Crate #1	箱子 1
00AB33A0	Crate #2	箱子 2
00AB33C0	Crate #3	箱子 3
00AB33E0	Crate #4	箱子 4
00AB3400	Crate #5	箱子 5
00AB3420	Crate #6	箱子 6
00AB3440	Crate #7	箱子 7
00AB3460	Crate #8	箱子 8
00AB3480	Crate #11E	箱子 11E
00AB34A0	Crate #3A	箱子 3A
00AB34C0	Crate #4A	箱子 4A
00AB34E8	Crate #6A	箱子 6A
00AB3510	Crate Float #1	浮动箱 1
00AB3538	Crate Pile	箱子堆
00AB3560	Crate Set #1	箱子装 1
00AB3580	Crate Set #2	箱子装 2
00AB35A0	Empty Pallet #1	空托盘 1
00AB35C8	Empty Pallet #3	空托盘 3
00AB35F0	Explosive Barrel	爆炸桶
00AB3620	Fish Crate Pile	鱼箱堆
00AB3648	Flammable Barrel (Globe Oil)	易燃桶（环球石油）
00AB3680	Flammable Barrel (Ron)	易燃桶（Ron）
00AB36B0	Fruit Crate Pile	水果箱堆
00AB36E0	Large Crate	大箱子
00AB3708	Ld Crate #1	Ld 箱子 1
00AB3730	Ld Crate Lid #1	Ld 箱子盖 1
00AB3758	Lester Crate	Lester箱子
